preset,coeff,value,baseline,outcome,mechanism,secondary_mechanism,confidence,termination_event,duration_months,decisive_shock_score,strategic_exhaustion_score,political_exhaustion_score
gulf_war_1991,battle_loss_rate,0.02,0.04,decisive_victory_a,strategic exhaustion,decisive shock,0.6246834223920351,political/military collapse of side B,40,20.6,26.0,21.8
gulf_war_1991,battle_loss_rate,0.035,0.04,decisive_victory_a,strategic exhaustion,decisive shock,0.623115631117704,political/military collapse of side B,35,20.7,25.9,23.5
gulf_war_1991,battle_loss_rate,0.05,0.04,decisive_victory_a,strategic exhaustion,decisive shock,0.6100108925955322,political/military collapse of side B,30,20.7,26.3,18.6
gulf_war_1991,battle_loss_rate,0.065,0.04,decisive_victory_a,strategic exhaustion,decisive shock,0.5980163757502388,political/military collapse of side B,27,20.7,26.5,18.1
gulf_war_1991,battle_loss_rate,0.08,0.04,decisive_victory_a,strategic exhaustion,decisive shock,0.6013063261855777,political/military collapse of side B,25,20.8,27.0,19.2
vietnam_war,battle_loss_rate,0.02,0.04,decisive_victory_a,strategic exhaustion,decisive shock,0.6243489894106825,political/military collapse of side B,29,20.4,31.0,12.7
vietnam_war,battle_loss_rate,0.035,0.04,decisive_victory_a,strategic exhaustion,decisive shock,0.5922440152886579,political/military collapse of side B,20,20.6,29.0,10.1
vietnam_war,battle_loss_rate,0.05,0.04,decisive_victory_a,strategic exhaustion,decisive shock,0.5640178802054894,political/military collapse of side B,15,20.8,27.6,9.1
vietnam_war,battle_loss_rate,0.065,0.04,decisive_victory_a,strategic exhaustion,decisive shock,0.5841130004447597,political/military collapse of side B,15,21.0,29.3,9.9
vietnam_war,battle_loss_rate,0.08,0.04,negotiated_settlement,strategic exhaustion,decisive shock,0.5794062041883297,negotiated settlement,14,21.1,29.6,9.5
wwi,battle_loss_rate,0.02,0.04,negotiated_settlement,strategic exhaustion,decisive shock,0.6699914121477667,negotiated settlement,37,20.8,36.8,27.9
wwi,battle_loss_rate,0.035,0.04,negotiated_settlement,strategic exhaustion,decisive shock,0.6323152134148698,negotiated settlement,24,20.9,33.7,19.3
wwi,battle_loss_rate,0.05,0.04,negotiated_settlement,strategic exhaustion,decisive shock,0.5860361294066989,negotiated settlement,16,21.0,30.0,14.7
wwi,battle_loss_rate,0.065,0.04,negotiated_settlement,strategic exhaustion,decisive shock,0.5642873082494436,negotiated settlement,13,21.2,28.8,13.5
wwi,battle_loss_rate,0.08,0.04,negotiated_settlement,strategic exhaustion,decisive shock,0.5472232290504448,negotiated settlement,11,21.4,28.1,12.1
gulf_war_1991,recruitment_rate,0.002,0.004,decisive_victory_a,strategic exhaustion,decisive shock,0.6057786303484206,political/military collapse of side B,30,20.7,26.2,17.5
gulf_war_1991,recruitment_rate,0.0035,0.004,decisive_victory_a,strategic exhaustion,decisive shock,0.6010390752620068,political/military collapse of side B,30,20.6,25.6,17.6
gulf_war_1991,recruitment_rate,0.005,0.004,decisive_victory_a,strategic exhaustion,decisive shock,0.6024896409783674,political/military collapse of side B,31,20.6,25.0,18.9
gulf_war_1991,recruitment_rate,0.0065,0.004,decisive_victory_a,strategic exhaustion,decisive shock,0.6204245756902247,political/military collapse of side B,35,20.6,25.2,24.2
gulf_war_1991,recruitment_rate,0.008,0.004,decisive_victory_a,strategic exhaustion,decisive shock,0.6153328362695127,political/military collapse of side B,35,20.6,24.4,24.3
vietnam_war,recruitment_rate,0.002,0.004,decisive_victory_a,strategic exhaustion,decisive shock,0.5742942707614561,political/military collapse of side B,17,20.7,28.3,9.1
vietnam_war,recruitment_rate,0.0035,0.004,decisive_victory_a,strategic exhaustion,decisive shock,0.5714246268100275,political/military collapse of side B,17,20.7,27.9,9.1
vietnam_war,recruitment_rate,0.005,0.004,decisive_victory_a,strategic exhaustion,decisive shock,0.5802304260392763,political/military collapse of side B,18,20.6,28.3,9.5
vietnam_war,recruitment_rate,0.0065,0.004,decisive_victory_a,strategic exhaustion,decisive shock,0.5820715235261887,political/military collapse of side B,19,20.6,28.4,9.6
vietnam_war,recruitment_rate,0.008,0.004,decisive_victory_a,strategic exhaustion,decisive shock,0.5932998070038725,political/military collapse of side B,20,20.6,28.6,10.5
wwi,recruitment_rate,0.002,0.004,negotiated_settlement,strategic exhaustion,decisive shock,0.5987546975021765,negotiated settlement,18,21.0,30.8,15.6
wwi,recruitment_rate,0.0035,0.004,negotiated_settlement,strategic exhaustion,decisive shock,0.5942914137750295,negotiated settlement,18,20.9,30.5,15.7
wwi,recruitment_rate,0.005,0.004,negotiated_settlement,strategic exhaustion,decisive shock,0.6120483623321679,negotiated settlement,21,20.9,32.1,17.8
wwi,recruitment_rate,0.0065,0.004,negotiated_settlement,strategic exhaustion,decisive shock,0.6341210406698686,negotiated settlement,24,20.9,33.9,20.5
wwi,recruitment_rate,0.008,0.004,negotiated_settlement,strategic exhaustion,decisive shock,0.6296767754693156,negotiated settlement,24,20.9,33.5,20.7
gulf_war_1991,recruitment_cap,0.75,1.5,decisive_victory_a,strategic exhaustion,decisive shock,0.6057051595346821,political/military collapse of side B,31,20.6,25.5,18.8
gulf_war_1991,recruitment_cap,1.3125,1.5,decisive_victory_a,strategic exhaustion,decisive shock,0.6057051595346821,political/military collapse of side B,31,20.6,25.5,18.8
gulf_war_1991,recruitment_cap,1.875,1.5,decisive_victory_a,strategic exhaustion,decisive shock,0.6057051595346821,political/military collapse of side B,31,20.6,25.5,18.8
gulf_war_1991,recruitment_cap,2.4375,1.5,decisive_victory_a,strategic exhaustion,decisive shock,0.6057051595346821,political/military collapse of side B,31,20.6,25.5,18.8
gulf_war_1991,recruitment_cap,3.0,1.5,decisive_victory_a,strategic exhaustion,decisive shock,0.6057051595346821,political/military collapse of side B,31,20.6,25.5,18.8
vietnam_war,recruitment_cap,0.75,1.5,decisive_victory_a,strategic exhaustion,decisive shock,0.5704851597313894,political/military collapse of side B,17,20.7,27.7,9.1
vietnam_war,recruitment_cap,1.3125,1.5,decisive_victory_a,strategic exhaustion,decisive shock,0.5704851597313894,political/military collapse of side B,17,20.7,27.7,9.1
vietnam_war,recruitment_cap,1.875,1.5,decisive_victory_a,strategic exhaustion,decisive shock,0.5704851597313894,political/military collapse of side B,17,20.7,27.7,9.1
vietnam_war,recruitment_cap,2.4375,1.5,decisive_victory_a,strategic exhaustion,decisive shock,0.5704851597313894,political/military collapse of side B,17,20.7,27.7,9.1
vietnam_war,recruitment_cap,3.0,1.5,decisive_victory_a,strategic exhaustion,decisive shock,0.5704851597313894,political/military collapse of side B,17,20.7,27.7,9.1
wwi,recruitment_cap,0.75,1.5,negotiated_settlement,strategic exhaustion,decisive shock,0.6004557784428932,negotiated settlement,19,20.9,30.9,15.7
wwi,recruitment_cap,1.3125,1.5,negotiated_settlement,strategic exhaustion,decisive shock,0.6004557784428932,negotiated settlement,19,20.9,30.9,15.7
wwi,recruitment_cap,1.875,1.5,negotiated_settlement,strategic exhaustion,decisive shock,0.6004557784428932,negotiated settlement,19,20.9,30.9,15.7
wwi,recruitment_cap,2.4375,1.5,negotiated_settlement,strategic exhaustion,decisive shock,0.6004557784428932,negotiated settlement,19,20.9,30.9,15.7
wwi,recruitment_cap,3.0,1.5,negotiated_settlement,strategic exhaustion,decisive shock,0.6004557784428932,negotiated settlement,19,20.9,30.9,15.7
gulf_war_1991,economic_war_costs,0.0125,0.025,decisive_victory_a,strategic exhaustion,decisive shock,0.5806095376081651,political/military collapse of side B,31,20.6,23.4,18.8
gulf_war_1991,economic_war_costs,0.0219,0.025,decisive_victory_a,strategic exhaustion,decisive shock,0.6000079254755764,political/military collapse of side B,31,20.6,25.0,18.8
gulf_war_1991,economic_war_costs,0.0312,0.025,decisive_victory_a,strategic exhaustion,decisive shock,0.6161097143913193,political/military collapse of side B,31,20.6,26.4,18.8
gulf_war_1991,economic_war_costs,0.0406,0.025,decisive_victory_a,strategic exhaustion,decisive shock,0.6295917464392414,political/military collapse of side B,31,20.6,27.7,18.8
gulf_war_1991,economic_war_costs,0.05,0.025,decisive_victory_a,strategic exhaustion,decisive shock,0.6409998208145976,political/military collapse of side B,31,20.6,28.9,18.8
vietnam_war,economic_war_costs,0.0125,0.025,decisive_victory_a,strategic exhaustion,decisive shock,0.5381227635442091,political/military collapse of side B,17,20.7,25.4,9.1
vietnam_war,economic_war_costs,0.0219,0.025,decisive_victory_a,strategic exhaustion,decisive shock,0.5631668014023006,political/military collapse of side B,17,20.7,27.2,9.1
vietnam_war,economic_war_costs,0.0312,0.025,decisive_victory_a,strategic exhaustion,decisive shock,0.5836171545251714,political/military collapse of side B,17,20.7,28.8,9.1
vietnam_war,economic_war_costs,0.0406,0.025,decisive_victory_a,strategic exhaustion,decisive shock,0.6003603134240119,political/military collapse of side B,17,20.7,30.2,9.1
vietnam_war,economic_war_costs,0.05,0.025,decisive_victory_a,strategic exhaustion,decisive shock,0.6141312747308528,political/military collapse of side B,17,20.7,31.5,9.1
wwi,economic_war_costs,0.0125,0.025,negotiated_settlement,strategic exhaustion,decisive shock,0.5772933221983438,negotiated settlement,20,20.9,28.8,16.9
wwi,economic_war_costs,0.0219,0.025,negotiated_settlement,strategic exhaustion,decisive shock,0.5934771905123359,negotiated settlement,19,20.9,30.3,15.7
wwi,economic_war_costs,0.0312,0.025,negotiated_settlement,strategic exhaustion,decisive shock,0.6127974109073677,negotiated settlement,19,20.9,32.1,15.7
wwi,economic_war_costs,0.0406,0.025,negotiated_settlement,strategic exhaustion,decisive shock,0.6280234496164623,negotiated settlement,19,20.9,33.6,15.7
wwi,economic_war_costs,0.05,0.025,negotiated_settlement,strategic exhaustion,decisive shock,0.6401408336883085,negotiated settlement,19,20.9,34.9,15.7
gulf_war_1991,blockade,0.005,0.01,decisive_victory_a,strategic exhaustion,decisive shock,0.601444689324506,political/military collapse of side B,31,20.6,25.1,18.8
gulf_war_1991,blockade,0.0088,0.01,decisive_victory_a,strategic exhaustion,decisive shock,0.6046624731912125,political/military collapse of side B,31,20.6,25.4,18.8
gulf_war_1991,blockade,0.0125,0.01,decisive_victory_a,strategic exhaustion,decisive shock,0.6077717065768334,political/military collapse of side B,31,20.6,25.7,18.8
gulf_war_1991,blockade,0.0163,0.01,decisive_victory_a,strategic exhaustion,decisive shock,0.6107636264732403,political/military collapse of side B,31,20.6,25.9,18.8
gulf_war_1991,blockade,0.02,0.01,decisive_victory_a,strategic exhaustion,decisive shock,0.613665027686529,political/military collapse of side B,31,20.6,26.2,18.8
vietnam_war,blockade,0.005,0.01,decisive_victory_a,strategic exhaustion,decisive shock,0.5639245404143873,political/military collapse of side B,17,20.7,27.2,9.1
vietnam_war,blockade,0.0088,0.01,decisive_victory_a,strategic exhaustion,decisive shock,0.5688877489052678,political/military collapse of side B,17,20.7,27.6,9.1
vietnam_war,blockade,0.0125,0.01,decisive_victory_a,strategic exhaustion,decisive shock,0.5736096730602405,political/military collapse of side B,17,20.7,28.0,9.1
vietnam_war,blockade,0.0163,0.01,decisive_victory_a,strategic exhaustion,decisive shock,0.5781146176604215,political/military collapse of side B,17,20.7,28.3,9.1
vietnam_war,blockade,0.02,0.01,decisive_victory_a,strategic exhaustion,decisive shock,0.5823923386580464,political/military collapse of side B,17,20.7,28.7,9.1
wwi,blockade,0.005,0.01,negotiated_settlement,strategic exhaustion,decisive shock,0.5937883828613864,negotiated settlement,19,20.9,30.3,15.7
wwi,blockade,0.0088,0.01,negotiated_settlement,strategic exhaustion,decisive shock,0.5988394931585788,negotiated settlement,19,20.9,30.8,15.7
wwi,blockade,0.0125,0.01,negotiated_settlement,strategic exhaustion,decisive shock,0.6035947893315236,negotiated settlement,19,20.9,31.2,15.7
