min_axis,mixed_both_above,gap_margin,agreement_with_current,n_changed,n_total,pct_decisive,pct_exhaustion,pct_mixed,pct_uncertain
40,60,10,0.8791,11,91,0.022,0.3407,0.0,0.6374
40,60,15,0.8791,11,91,0.022,0.3407,0.0,0.6374
40,60,20,0.8791,11,91,0.022,0.2967,0.044,0.6374
40,60,25,0.8022,18,91,0.011,0.1758,0.1758,0.6374
40,60,30,0.7692,21,91,0.011,0.1429,0.2088,0.6374
40,65,10,0.8791,11,91,0.022,0.3407,0.0,0.6374
40,65,15,0.8791,11,91,0.022,0.3407,0.0,0.6374
40,65,20,0.8791,11,91,0.022,0.2967,0.044,0.6374
40,65,25,0.8022,18,91,0.011,0.1758,0.1758,0.6374
40,65,30,0.7692,21,91,0.011,0.1429,0.2088,0.6374
40,70,10,0.8791,11,91,0.022,0.3407,0.0,0.6374
40,70,15,0.8791,11,91,0.022,0.3407,0.0,0.6374
40,70,20,0.8791,11,91,0.022,0.2967,0.044,0.6374
40,70,25,0.8022,18,91,0.011,0.1758,0.1758,0.6374
40,70,30,0.7692,21,91,0.011,0.1429,0.2088,0.6374
40,75,10,0.8791,11,91,0.022,0.3407,0.0,0.6374
40,75,15,0.8791,11,91,0.022,0.3407,0.0,0.6374
40,75,20,0.8791,11,91,0.022,0.2967,0.044,0.6374
40,75,25,0.8022,18,91,0.011,0.1758,0.1758,0.6374
40,75,30,0.7692,21,91,0.011,0.1429,0.2088,0.6374
40,80,10,0.8791,11,91,0.022,0.3407,0.0,0.6374
40,80,15,0.8791,11,91,0.022,0.3407,0.0,0.6374
40,80,20,0.8791,11,91,0.022,0.2967,0.044,0.6374
40,80,25,0.8022,18,91,0.011,0.1758,0.1758,0.6374
40,80,30,0.7692,21,91,0.011,0.1429,0.2088,0.6374
45,60,10,1.0,0,91,0.022,0.2198,0.0,0.7582
45,60,15,1.0,0,91,0.022,0.2198,0.0,0.7582
45,60,20,1.0,0,91,0.022,0.2198,0.0,0.7582
45,60,25,0.9231,7,91,0.011,0.1538,0.0769,0.7582
45,60,30,0.8901,10,91,0.011,0.1209,0.1099,0.7582
45,65,10,1.0,0,91,0.022,0.2198,0.0,0.7582
45,65,15,1.0,0,91,0.022,0.2198,0.0,0.7582
45,65,20,1.0,0,91,0.022,0.2198,0.0,0.7582
45,65,25,0.9231,7,91,0.011,0.1538,0.0769,0.7582
45,65,30,0.8901,10,91,0.011,0.1209,0.1099,0.7582
45,70,10,1.0,0,91,0.022,0.2198,0.0,0.7582
45,70,15,1.0,0,91,0.022,0.2198,0.0,0.7582
45,70,20,1.0,0,91,0.022,0.2198,0.0,0.7582
45,70,25,0.9231,7,91,0.011,0.1538,0.0769,0.7582
45,70,30,0.8901,10,91,0.011,0.1209,0.1099,0.7582
