case,metric,component,weight,original_score,score_without,delta,classification_changed
gulf_war_1991,DSS,final_battle_proximity,0.15,36.6,31.1,-5.5,False
gulf_war_1991,DSS,battle_casualty_concentration,0.1,36.6,32.9,-3.7,False
gulf_war_1991,DSS,source_claims_decisive,0.35,36.6,23.8,-12.8,False
gulf_war_1991,DSS,capital_capture,0.1,36.6,32.9,-3.7,False
gulf_war_1991,DSS,field_army_destroyed,0.1,36.6,32.9,-3.7,False
gulf_war_1991,DSS,fleet_destroyed,0.05,36.6,34.8,-1.8,False
gulf_war_1991,DSS,rapid_surrender,0.05,36.6,34.8,-1.8,False
gulf_war_1991,DSS,regime_collapse,0.05,36.6,34.8,-1.8,False
gulf_war_1991,DSS,battle_winner_equals_war_winner,0.05,36.6,34.8,-1.8,False
gulf_war_1991,SES,duration_pressure,0.14,19.5,16.8,-2.7,False
gulf_war_1991,SES,casualty_burden,0.14,19.5,16.8,-2.7,False
gulf_war_1991,SES,military_personnel_decline,0.14,19.5,16.8,-2.7,False
gulf_war_1991,SES,military_expenditure_burden,0.14,19.5,16.8,-2.7,False
gulf_war_1991,SES,energy_or_industrial_decline,0.1,19.5,17.6,-1.9,False
gulf_war_1991,SES,event_tempo_decline,0.1,19.5,17.6,-1.9,False
gulf_war_1991,SES,alliance_degradation,0.1,19.5,17.6,-1.9,False
gulf_war_1991,SES,regime_will_decline,0.05,19.5,18.5,-1.0,False
gulf_war_1991,SES,territorial_loss_proxy,0.05,19.5,18.5,-1.0,False
gulf_war_1991,SES,protest_or_unrest_increase,0.04,19.5,18.7,-0.8,False
vietnam_war,DSS,final_battle_proximity,0.15,10.7,9.1,-1.6,False
vietnam_war,DSS,battle_casualty_concentration,0.1,10.7,9.6,-1.1,False
vietnam_war,DSS,source_claims_decisive,0.35,10.7,7.0,-3.7,False
vietnam_war,DSS,capital_capture,0.1,10.7,9.6,-1.1,False
vietnam_war,DSS,field_army_destroyed,0.1,10.7,9.6,-1.1,False
vietnam_war,DSS,fleet_destroyed,0.05,10.7,10.2,-0.5,False
vietnam_war,DSS,rapid_surrender,0.05,10.7,10.2,-0.5,False
vietnam_war,DSS,regime_collapse,0.05,10.7,10.2,-0.5,False
vietnam_war,DSS,battle_winner_equals_war_winner,0.05,10.7,10.2,-0.5,False
vietnam_war,SES,duration_pressure,0.14,35.2,30.3,-4.9,False
vietnam_war,SES,casualty_burden,0.14,35.2,30.3,-4.9,False
vietnam_war,SES,military_personnel_decline,0.14,35.2,30.3,-4.9,False
vietnam_war,SES,military_expenditure_burden,0.14,35.2,30.3,-4.9,False
vietnam_war,SES,energy_or_industrial_decline,0.1,35.2,31.7,-3.5,False
vietnam_war,SES,event_tempo_decline,0.1,35.2,31.7,-3.5,False
vietnam_war,SES,alliance_degradation,0.1,35.2,31.7,-3.5,False
vietnam_war,SES,regime_will_decline,0.05,35.2,33.4,-1.8,False
vietnam_war,SES,territorial_loss_proxy,0.05,35.2,33.4,-1.8,False
vietnam_war,SES,protest_or_unrest_increase,0.04,35.2,33.8,-1.4,False
wwi,DSS,final_battle_proximity,0.15,16.9,14.4,-2.5,False
wwi,DSS,battle_casualty_concentration,0.1,16.9,15.2,-1.7,False
wwi,DSS,source_claims_decisive,0.35,16.9,11.0,-5.9,False
wwi,DSS,capital_capture,0.1,16.9,15.2,-1.7,False
wwi,DSS,field_army_destroyed,0.1,16.9,15.2,-1.7,False
wwi,DSS,fleet_destroyed,0.05,16.9,16.1,-0.8,False
wwi,DSS,rapid_surrender,0.05,16.9,16.1,-0.8,False
wwi,DSS,regime_collapse,0.05,16.9,16.1,-0.8,False
wwi,DSS,battle_winner_equals_war_winner,0.05,16.9,16.1,-0.8,False
wwi,SES,duration_pressure,0.14,39.9,34.3,-5.6,False
wwi,SES,casualty_burden,0.14,39.9,34.3,-5.6,False
wwi,SES,military_personnel_decline,0.14,39.9,34.3,-5.6,False
wwi,SES,military_expenditure_burden,0.14,39.9,34.3,-5.6,False
wwi,SES,energy_or_industrial_decline,0.1,39.9,35.9,-4.0,False
wwi,SES,event_tempo_decline,0.1,39.9,35.9,-4.0,False
wwi,SES,alliance_degradation,0.1,39.9,35.9,-4.0,False
wwi,SES,regime_will_decline,0.05,39.9,37.9,-2.0,False
wwi,SES,territorial_loss_proxy,0.05,39.9,37.9,-2.0,False
wwi,SES,protest_or_unrest_increase,0.04,39.9,38.3,-1.6,False
franco_prussian,DSS,final_battle_proximity,0.15,36.7,31.2,-5.5,False
franco_prussian,DSS,battle_casualty_concentration,0.1,36.7,33.0,-3.7,False
franco_prussian,DSS,source_claims_decisive,0.35,36.7,23.9,-12.8,False
franco_prussian,DSS,capital_capture,0.1,36.7,33.0,-3.7,False
franco_prussian,DSS,field_army_destroyed,0.1,36.7,33.0,-3.7,False
franco_prussian,DSS,fleet_destroyed,0.05,36.7,34.9,-1.8,False
franco_prussian,DSS,rapid_surrender,0.05,36.7,34.9,-1.8,False
franco_prussian,DSS,regime_collapse,0.05,36.7,34.9,-1.8,False
franco_prussian,DSS,battle_winner_equals_war_winner,0.05,36.7,34.9,-1.8,False
franco_prussian,SES,duration_pressure,0.14,23.1,19.9,-3.2,False
franco_prussian,SES,casualty_burden,0.14,23.1,19.9,-3.2,False
franco_prussian,SES,military_personnel_decline,0.14,23.1,19.9,-3.2,False
franco_prussian,SES,military_expenditure_burden,0.14,23.1,19.9,-3.2,False
franco_prussian,SES,energy_or_industrial_decline,0.1,23.1,20.8,-2.3,False
franco_prussian,SES,event_tempo_decline,0.1,23.1,20.8,-2.3,False
franco_prussian,SES,alliance_degradation,0.1,23.1,20.8,-2.3,False
franco_prussian,SES,regime_will_decline,0.05,23.1,21.9,-1.2,False
franco_prussian,SES,territorial_loss_proxy,0.05,23.1,21.9,-1.2,False
franco_prussian,SES,protest_or_unrest_increase,0.04,23.1,22.2,-0.9,False
korean_war,DSS,final_battle_proximity,0.15,20.9,17.8,-3.1,False
korean_war,DSS,battle_casualty_concentration,0.1,20.9,18.8,-2.1,False
korean_war,DSS,source_claims_decisive,0.35,20.9,13.6,-7.3,False
korean_war,DSS,capital_capture,0.1,20.9,18.8,-2.1,False
korean_war,DSS,field_army_destroyed,0.1,20.9,18.8,-2.1,False
korean_war,DSS,fleet_destroyed,0.05,20.9,19.9,-1.0,False
korean_war,DSS,rapid_surrender,0.05,20.9,19.9,-1.0,False
korean_war,DSS,regime_collapse,0.05,20.9,19.9,-1.0,False
korean_war,DSS,battle_winner_equals_war_winner,0.05,20.9,19.9,-1.0,False
korean_war,SES,duration_pressure,0.14,35.0,30.1,-4.9,False
korean_war,SES,casualty_burden,0.14,35.0,30.1,-4.9,False
korean_war,SES,military_personnel_decline,0.14,35.0,30.1,-4.9,False
korean_war,SES,military_expenditure_burden,0.14,35.0,30.1,-4.9,False
korean_war,SES,energy_or_industrial_decline,0.1,35.0,31.5,-3.5,False
korean_war,SES,event_tempo_decline,0.1,35.0,31.5,-3.5,False
korean_war,SES,alliance_degradation,0.1,35.0,31.5,-3.5,False
korean_war,SES,regime_will_decline,0.05,35.0,33.2,-1.8,False
korean_war,SES,territorial_loss_proxy,0.05,35.0,33.2,-1.8,False
korean_war,SES,protest_or_unrest_increase,0.04,35.0,33.6,-1.4,False
iran_iraq,DSS,final_battle_proximity,0.15,13.0,11.0,-2.0,False
iran_iraq,DSS,battle_casualty_concentration,0.1,13.0,11.7,-1.3,False
iran_iraq,DSS,source_claims_decisive,0.35,13.0,8.5,-4.5,False
iran_iraq,DSS,capital_capture,0.1,13.0,11.7,-1.3,False
iran_iraq,DSS,field_army_destroyed,0.1,13.0,11.7,-1.3,False
iran_iraq,DSS,fleet_destroyed,0.05,13.0,12.3,-0.7,False
iran_iraq,DSS,rapid_surrender,0.05,13.0,12.3,-0.7,False
iran_iraq,DSS,regime_collapse,0.05,13.0,12.3,-0.7,False
iran_iraq,DSS,battle_winner_equals_war_winner,0.05,13.0,12.3,-0.7,False
iran_iraq,SES,duration_pressure,0.14,35.3,30.4,-4.9,False
iran_iraq,SES,casualty_burden,0.14,35.3,30.4,-4.9,False
iran_iraq,SES,military_personnel_decline,0.14,35.3,30.4,-4.9,False
iran_iraq,SES,military_expenditure_burden,0.14,35.3,30.4,-4.9,False
iran_iraq,SES,energy_or_industrial_decline,0.1,35.3,31.8,-3.5,False
iran_iraq,SES,event_tempo_decline,0.1,35.3,31.8,-3.5,False
iran_iraq,SES,alliance_degradation,0.1,35.3,31.8,-3.5,False
iran_iraq,SES,regime_will_decline,0.05,35.3,33.5,-1.8,False
