preset,coeff,value,baseline,outcome,mechanism,duration_months,final_dss,final_ses
gulf_war_1991,battle_loss_rate,0.02,0.04,decisive_victory_a,decisive,40,1.4,20.2
gulf_war_1991,battle_loss_rate,0.035,0.04,decisive_victory_a,decisive,35,1.4,19.6
gulf_war_1991,battle_loss_rate,0.05,0.04,decisive_victory_a,decisive,30,1.4,20.4
gulf_war_1991,battle_loss_rate,0.065,0.04,decisive_victory_a,decisive,27,1.5,20.9
gulf_war_1991,battle_loss_rate,0.08,0.04,decisive_victory_a,decisive,25,1.6,21.8
vietnam_war,battle_loss_rate,0.02,0.04,decisive_victory_a,decisive,29,0.9,28.8
vietnam_war,battle_loss_rate,0.035,0.04,decisive_victory_a,decisive,20,1.2,25.1
vietnam_war,battle_loss_rate,0.05,0.04,decisive_victory_a,decisive,15,1.5,22.7
vietnam_war,battle_loss_rate,0.065,0.04,decisive_victory_a,decisive,15,1.8,25.5
vietnam_war,battle_loss_rate,0.08,0.04,negotiated_settlement,uncertain,14,2.0,26.0
wwi,battle_loss_rate,0.02,0.04,negotiated_settlement,uncertain,37,1.7,38.6
wwi,battle_loss_rate,0.035,0.04,negotiated_settlement,uncertain,24,1.9,33.6
wwi,battle_loss_rate,0.05,0.04,negotiated_settlement,uncertain,16,2.0,26.9
wwi,battle_loss_rate,0.065,0.04,negotiated_settlement,uncertain,13,2.3,24.7
wwi,battle_loss_rate,0.08,0.04,negotiated_settlement,uncertain,11,2.6,23.2
gulf_war_1991,recruitment_rate,0.002,0.004,decisive_victory_a,decisive,30,1.4,20.3
gulf_war_1991,recruitment_rate,0.0035,0.004,decisive_victory_a,decisive,30,1.4,19.1
gulf_war_1991,recruitment_rate,0.005,0.004,decisive_victory_a,decisive,31,1.3,18.0
gulf_war_1991,recruitment_rate,0.0065,0.004,decisive_victory_a,decisive,35,1.4,18.1
gulf_war_1991,recruitment_rate,0.008,0.004,decisive_victory_a,decisive,35,1.3,16.8
vietnam_war,recruitment_rate,0.002,0.004,decisive_victory_a,decisive,17,1.4,23.8
vietnam_war,recruitment_rate,0.0035,0.004,decisive_victory_a,decisive,17,1.3,23.1
vietnam_war,recruitment_rate,0.005,0.004,decisive_victory_a,decisive,18,1.2,23.9
vietnam_war,recruitment_rate,0.0065,0.004,decisive_victory_a,decisive,19,1.2,24.1
vietnam_war,recruitment_rate,0.008,0.004,decisive_victory_a,decisive,20,1.1,24.5
wwi,recruitment_rate,0.002,0.004,negotiated_settlement,uncertain,18,1.9,28.5
wwi,recruitment_rate,0.0035,0.004,negotiated_settlement,uncertain,18,1.8,27.8
wwi,recruitment_rate,0.005,0.004,negotiated_settlement,uncertain,21,1.8,30.6
wwi,recruitment_rate,0.0065,0.004,negotiated_settlement,uncertain,24,1.9,33.9
wwi,recruitment_rate,0.008,0.004,negotiated_settlement,uncertain,24,1.9,33.2
gulf_war_1991,recruitment_cap,0.75,1.5,decisive_victory_a,decisive,31,1.3,18.8
gulf_war_1991,recruitment_cap,1.3125,1.5,decisive_victory_a,decisive,31,1.3,18.8
gulf_war_1991,recruitment_cap,1.875,1.5,decisive_victory_a,decisive,31,1.3,18.8
gulf_war_1991,recruitment_cap,2.4375,1.5,decisive_victory_a,decisive,31,1.3,18.8
gulf_war_1991,recruitment_cap,3.0,1.5,decisive_victory_a,decisive,31,1.3,18.8
vietnam_war,recruitment_cap,0.75,1.5,decisive_victory_a,decisive,17,1.3,22.9
vietnam_war,recruitment_cap,1.3125,1.5,decisive_victory_a,decisive,17,1.3,22.9
vietnam_war,recruitment_cap,1.875,1.5,decisive_victory_a,decisive,17,1.3,22.9
vietnam_war,recruitment_cap,2.4375,1.5,decisive_victory_a,decisive,17,1.3,22.9
vietnam_war,recruitment_cap,3.0,1.5,decisive_victory_a,decisive,17,1.3,22.9
wwi,recruitment_cap,0.75,1.5,negotiated_settlement,uncertain,19,1.8,28.6
wwi,recruitment_cap,1.3125,1.5,negotiated_settlement,uncertain,19,1.8,28.6
wwi,recruitment_cap,1.875,1.5,negotiated_settlement,uncertain,19,1.8,28.6
wwi,recruitment_cap,2.4375,1.5,negotiated_settlement,uncertain,19,1.8,28.6
