preset,param,value,baseline_value,outcome,mechanism,duration_months,final_dss,final_ses
gulf_war_1991,shock_strength,45.0,90,decisive_victory_a,decisive,50,1.3,30.4
gulf_war_1991,shock_strength,67.5,90,decisive_victory_a,decisive,40,1.4,23.9
gulf_war_1991,shock_strength,90.0,90,decisive_victory_a,decisive,31,1.3,18.8
gulf_war_1991,shock_strength,112.5,90,decisive_victory_a,decisive,29,1.5,18.4
gulf_war_1991,shock_strength,135.0,90,decisive_victory_a,decisive,25,1.8,17.3
gulf_war_1991,attrition_rate,15.0,30,decisive_victory_a,decisive,40,1.4,14.2
gulf_war_1991,attrition_rate,22.5,30,decisive_victory_a,decisive,35,1.4,16.1
gulf_war_1991,attrition_rate,30.0,30,decisive_victory_a,decisive,31,1.3,18.8
gulf_war_1991,attrition_rate,37.5,30,decisive_victory_a,decisive,30,1.4,22.6
gulf_war_1991,attrition_rate,45.0,30,decisive_victory_a,decisive,29,1.5,25.2
gulf_war_1991,economic_resilience,40.0,80,decisive_victory_a,decisive,30,1.4,21.5
gulf_war_1991,economic_resilience,60.0,80,decisive_victory_a,decisive,30,1.4,20.1
gulf_war_1991,economic_resilience,80.0,80,decisive_victory_a,decisive,31,1.3,18.8
gulf_war_1991,economic_resilience,100.0,80,decisive_victory_a,decisive,35,1.4,18.9
gulf_war_1991,economic_resilience,120.0,80,decisive_victory_a,decisive,35,1.4,17.4
gulf_war_1991,political_resilience,35.0,70,decisive_victory_a,decisive,31,1.3,19.0
gulf_war_1991,political_resilience,52.5,70,decisive_victory_a,decisive,31,1.3,18.9
gulf_war_1991,political_resilience,70.0,70,decisive_victory_a,decisive,31,1.3,18.8
gulf_war_1991,political_resilience,87.5,70,decisive_victory_a,decisive,31,1.3,18.7
gulf_war_1991,political_resilience,105.0,70,decisive_victory_a,decisive,31,1.3,18.6
vietnam_war,shock_strength,12.5,25,decisive_victory_a,decisive,20,1.3,26.2
vietnam_war,shock_strength,18.8,25,decisive_victory_a,decisive,19,1.3,25.2
vietnam_war,shock_strength,25.0,25,decisive_victory_a,decisive,17,1.3,22.9
vietnam_war,shock_strength,31.2,25,decisive_victory_a,decisive,17,1.3,23.0
vietnam_war,shock_strength,37.5,25,decisive_victory_a,decisive,16,1.3,22.2
vietnam_war,attrition_rate,37.5,75,decisive_victory_a,decisive,29,0.9,19.6
vietnam_war,attrition_rate,56.2,75,decisive_victory_a,decisive,22,1.1,22.4
vietnam_war,attrition_rate,75.0,75,decisive_victory_a,decisive,17,1.3,22.9
vietnam_war,attrition_rate,93.8,75,decisive_victory_a,decisive,15,1.5,25.0
vietnam_war,attrition_rate,112.5,75,decisive_victory_a,decisive,15,1.7,29.2
vietnam_war,economic_resilience,35.0,70,decisive_victory_a,decisive,15,1.5,23.3
vietnam_war,economic_resilience,52.5,70,decisive_victory_a,decisive,16,1.4,23.5
vietnam_war,economic_resilience,70.0,70,decisive_victory_a,decisive,17,1.3,22.9
vietnam_war,economic_resilience,87.5,70,decisive_victory_a,decisive,20,1.2,24.7
vietnam_war,economic_resilience,105.0,70,decisive_victory_a,decisive,23,1.0,25.9
vietnam_war,political_resilience,20.0,40,decisive_victory_a,decisive,17,1.3,23.1
vietnam_war,political_resilience,30.0,40,decisive_victory_a,decisive,17,1.3,23.0
vietnam_war,political_resilience,40.0,40,decisive_victory_a,decisive,17,1.3,22.9
vietnam_war,political_resilience,50.0,40,decisive_victory_a,decisive,17,1.3,22.8
vietnam_war,political_resilience,60.0,40,decisive_victory_a,decisive,17,1.3,22.7
wwi,shock_strength,20.0,40,negotiated_settlement,uncertain,22,1.4,31.4
wwi,shock_strength,30.0,40,negotiated_settlement,uncertain,21,1.6,30.7
wwi,shock_strength,40.0,40,negotiated_settlement,uncertain,19,1.8,28.6
wwi,shock_strength,50.0,40,negotiated_settlement,uncertain,18,2.0,28.0
wwi,shock_strength,60.0,40,negotiated_settlement,uncertain,18,2.2,28.3
wwi,attrition_rate,40.0,80,negotiated_settlement,uncertain,39,1.7,29.5
wwi,attrition_rate,60.0,80,negotiated_settlement,uncertain,26,1.9,30.0
wwi,attrition_rate,80.0,80,negotiated_settlement,uncertain,19,1.8,28.6
