war_id_mapped,war_name,manual_dss,manual_ses,model_dss,model_ses,manual_class,model_class,dss_delta,ses_delta
cow_iw_58,Franco-Prussian War,85.0,45.0,66.0,45.0,decisive_battle_or_campaign,decisive_battle_or_campaign,-19.0,0.0
cow_iw_85,Russo-Japanese War,55.0,70.0,50.0,70.0,mixed,strategic_exhaustion,-5.0,0.0
cow_iw_211,Gulf War 1991,80.0,25.0,69.75,25.0,decisive_battle_or_campaign,decisive_battle_or_campaign,-10.25,0.0
cow_iw_106,World War I,60.0,90.0,58.25,90.0,mixed,strategic_exhaustion,-1.75,0.0
cow_iw_139,World War II Pacific,50.0,90.0,49.25,90.0,mixed,strategic_exhaustion,-0.75,0.0
cow_iw_163,Vietnam War,30.0,85.0,30.5,85.0,strategic_exhaustion,strategic_exhaustion,0.5,0.0
manual_thirty_years,Thirty Years War,25.0,85.0,,,strategic_exhaustion,,,
manual_peloponnesian,Peloponnesian War,55.0,90.0,,,strategic_exhaustion,,,
manual_second_punic,Second Punic War,45.0,85.0,,,strategic_exhaustion,,,
manual_only,Mongol Conquest of Khwarezm,90.0,40.0,,,decisive_battle_or_campaign,,,
