table,column,n_rows,n_missing,pct_missing
wars.parquet,war_id,4812,0,0.0
wars.parquet,war_name,4812,0,0.0
wars.parquet,source_primary,4812,0,0.0
wars.parquet,source_war_id,4812,0,0.0
wars.parquet,war_type,4812,0,0.0
wars.parquet,start_date,4812,0,0.0
wars.parquet,end_date,4812,62,1.29
wars.parquet,outcome_type,4812,0,0.0
wars.parquet,region,4812,0,0.0
wars.parquet,era,4812,0,0.0
wars.parquet,termination_type_manual,4812,0,0.0
wars.parquet,termination_type_model,4812,0,0.0
wars.parquet,confidence,4812,0,0.0
wars.parquet,notes,4812,0,0.0
wars.parquet,duration_days,4812,62,1.29
war_participants.parquet,war_id,4582,0,0.0
war_participants.parquet,actor_id,4582,0,0.0
war_participants.parquet,role,4582,0,0.0
war_participants.parquet,side,4582,0,0.0
war_years.parquet,war_id,678399,0,0.0
war_years.parquet,year,678399,0,0.0
war_years.parquet,war_name,678399,0,0.0
war_years.parquet,cow_code,678399,0,0.0
war_years.parquet,military_expenditure,678399,0,0.0
war_years.parquet,military_personnel,678399,0,0.0
war_years.parquet,iron_steel,678399,0,0.0
war_years.parquet,energy_consumption,678399,0,0.0
war_years.parquet,population,678399,0,0.0
war_years.parquet,urban_population,678399,0,0.0
war_years.parquet,cinc,678399,0,0.0
war_years.parquet,battle_deaths,678399,333202,49.12
battles.parquet,battle_id,1708,0,0.0
battles.parquet,war_id,1708,0,0.0
battles.parquet,battle_name,1708,0,0.0
battles.parquet,start_date,1708,0,0.0
battles.parquet,end_date,1708,0,0.0
battles.parquet,location,1708,0,0.0
battles.parquet,winner,1708,0,0.0
battles.parquet,loser,1708,0,0.0
battles.parquet,participants,1708,0,0.0
battles.parquet,distance_to_war_end_days,1708,34,1.99
battles.parquet,decisive_claimed_by_sources,1708,0,0.0
battles.parquet,source_confidence,1708,0,0.0
battles.parquet,wikipedia_title,1708,0,0.0
battles.parquet,wikipedia_outcome,1708,0,0.0
battles.parquet,wikipedia_location,1708,0,0.0
battles.parquet,wikipedia_casualties_a,1708,0,0.0
battles.parquet,wikipedia_casualties_b,1708,0,0.0
battles.parquet,wikipedia_confidence,1708,0,0.0
termination_events.parquet,war_id,4812,0,0.0
termination_events.parquet,termination_date,4812,62,1.29
termination_events.parquet,termination_event_name,4812,0,0.0
termination_events.parquet,termination_event_type,4812,0,0.0
termination_events.parquet,battle_id_if_applicable,4812,0,0.0
termination_events.parquet,capital_seized,4812,0,0.0
termination_events.parquet,government_collapsed,4812,0,0.0
termination_events.parquet,treaty_signed,4812,0,0.0
termination_events.parquet,armistice_signed,4812,0,0.0
termination_events.parquet,surrender_signed,4812,0,0.0
termination_events.parquet,regime_change,4812,0,0.0
termination_events.parquet,alliance_exit,4812,0,0.0
termination_events.parquet,notes,4812,0,0.0
dss_scores.parquet,war_id,91,0,0.0
dss_scores.parquet,war_name,91,0,0.0
dss_scores.parquet,dss_score,91,0,0.0
dss_scores.parquet,dss_components,91,0,0.0
dss_scores.parquet,dss_weighted_total,91,0,0.0
dss_scores.parquet,component_confidence,91,0,0.0
ses_scores.parquet,war_id,2571,0,0.0
ses_scores.parquet,ses_score,2571,0,0.0
ses_scores.parquet,ses_components,2571,0,0.0
ses_scores.parquet,ses_weighted_total,2571,0,0.0
termination_classification.parquet,war_id,2571,0,0.0
termination_classification.parquet,dss_score,2571,2480,96.46
termination_classification.parquet,ses_score,2571,0,0.0
termination_classification.parquet,termination_type_model,2571,0,0.0
termination_classification.parquet,primary_mechanism,2571,0,0.0
termination_classification.parquet,decision_logic,2571,0,0.0
