category,key,count
by_source,brecke,3708
by_source,cow,1104
by_war_type,non_state,3708
by_war_type,4.0,575
by_war_type,5.0,350
by_war_type,interstate,91
by_war_type,7.0,59
by_war_type,6.0,28
by_war_type,-8.0,1
by_era,early_modern_1400_1788,2031
by_era,industrial_1816_1913,1231
by_era,cold_war_1946_1991,705
by_era,world_war_1914_1945,427
by_era,post_cold_war_1992_2021,270
by_era,revolutionary_napoleonic_1789_1815,148
by_confidence,C,3708
by_confidence,D,1013
by_confidence,A,91
coverage,total_wars,4812
coverage,has_start_date,4812
coverage,has_end_date,4750
coverage,has_duration,4750
coverage,has_outcome_label,91
coverage,has_known_region,907
coverage,with_dss,91
coverage,with_ses,2571
coverage,with_both_dss_ses,91
coverage,with_battle_data,96
coverage,with_participants,1104
coverage,with_termination_events,4812
coverage,with_war_years_data,2571
